Category,Question,"Question Image","Explanation Image",Explanation,"Option 1","Option 2","Option 3","Option 4",Answer
"LO1: 1.3 Identify the characteristics of recognised footway and carriageway designs","What are the characteristics of a rigid construction?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"A structure where the concrete road slab also performs the function of the base","The course layers are either bound or unbound with a bituminous binder","The surface consists of setts, blocks or pavers laid on an appropriate bedding layer","A structure composed of lean mix concrete, normally with bituminous surfacing layers",1
"LO1: 1.3 Identify the characteristics of recognised footway and carriageway designs","What is the configuration of a composite road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Composed of setts, blocks, pavers or slabs laid on appropriate sub-construction","Composed of either bituminous or granular base material or a combination thereof","Composed of concrete, the surface slab performs the function of the base","Composed of cement bound granular material with bituminous surfacing layers",4
"LO1: 1.3 Identify the characteristics of recognised footway and carriageway designs","What is a modular footway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"A structure composed of cement bound granular material with bituminous surfacing layers","A structure where the base is composed of either bituminous or granular material","A structure where the surface is composed of setts, blocks, pavers or paving slabs","A structure where the concrete road slab also performs the function of the base",3
"LO1: 1.4 Establish the characteristics of high duty and high amenity","What is a high duty footway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"A route which has been surfaced for decorative purposes","A principle route used by equestrians, cyclists and pedestrians","A principle route used by a large number of pedestrians","A route which the public have a right of way on foot only",3
"LO1: 1.4 Establish the characteristics of high duty and high amenity","What is a high amenity route?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"A route constructed to a high standard with decorative, textured or coloured finish","A route constructed specifically for the use of cyclists and equestrians","A route constructed from loose material which requires little or no maintenance","A route constructed to be used by an exceptionally large number of pedestrians",1
"LO1: 1.4 Establish the characteristics of high duty and high amenity","What category of footway is a route which has been surfaced specifically for decorative purposes?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"High duty","High amenity","High friction","High quality",2
"LO3: 3.1: Identify the characteristics of recognised footway and carriageway designs","What equipment should be used to cut a smooth and vertical edge on the surface of a flexible road?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Road breaker","Road saw","Rock drill","Backhoe excavator",2
"LO3: 3.1: Identify the characteristics of recognised footway and carriageway designs","What equipment should be used to rough cut material in a rigid road surface?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Insulated pick","Pinch bar","Road breaker",Moleplough,3
"LO3: 3.1: Identify the characteristics of recognised footway and carriageway designs","What would be the most appropriate piece of equipment to excavate within the precautionary area of a tree?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Suction excavator","Water jet","360Âº mini excavator","Insulated hand tools",1
"LO3: 3.2: Identify the appropriate tools and equipment used to safely excavate in the highway","Which regulation places responsibility upon businesses and organisations to ensure that work equipment is constructed or adapted to be suitable for the purpose it is used or provided for?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Provision and Use of Work Equipment Regulations (PUWER)","Lifting Operation and Lifting Equipment Regulations (LOLER)","The Personal Protective Equipment at Work Regulations","Control of Vibration at Work Regulations",1
"LO3: 3.2: Identify the appropriate tools and equipment used to safely excavate in the highway","Which document defines the specific service and calibration requirements of equipment?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Method statement","Health and Safety Executive guidance document","Provision and Use of Work Equipment Regulations","Manufacturer's instructions",4
"LO3: 3.2: Identify the appropriate tools and equipment used to safely excavate in the highway","What document would define the requirements that equipment must meet to be considered fit for purpose for a specific task or activity?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Method statement and Risk Assessments","Manufacturer's instructions","HSE guidance documents","Permit to dig",1
"LO3: 3.3: Define the appropriate specifications that should be referred to when excavating","Which document provides information relating to the reuse of excavated materials?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Safety at Street Works and Road Works, Approved Code of Practice","Specification for the Reinstatement of Openings in the Highway/Roads","Health and Safety Guidance 47, Avoiding Danger from Underground Services","Specification for Highway Works, 'Series 1000'",2
"LO3: 3.3: Define the appropriate specifications that should be referred to when excavating","What is the purpose of HSG47?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To provide guidance about the dangers of working near underground service","To provide guidance about the dangers of working in deep excavations","To provide guidance about the dangers of working near high speed roads","To provide guidance about the dangers of working on a construction site",1
"LO3: 3.3: Define the appropriate specifications that should be referred to when excavating","Which document defines the typical construction layers of roads and footways?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Safety at Street Works and Road Works, Approved Code of Practice","Specification for the Reinstatement of Openings in the Highway/Roads","Health and Safety Guidance 47, Avoiding Danger from Underground Services","Specification for Highway Works 'Series 300'",2
"LO3: 3.4: Define the appropriate methods used to identify areas of high risk relating to excavation","How should areas of high danger relating to excavation activities identified?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Completing a method statement","Attending regular tool box talks","Completing a risk assessment","Reading the relevant HSE guidance",3
"LO3: 3.4: Define the appropriate methods used to identify areas of high risk relating to excavation","Why must excavations be inspected by a competent person at the start of each shift and after any events such as the fall of rock or earth?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To identify any areas of high risk that may lead to collapse","To complete job pack records at the request of the employer","To comply with health and safety legislation","To ensure that work within the excavation continues to progress",1
"LO3: 3.4: Define the appropriate methods used to identify areas of high risk relating to excavation","What is the purpose of conducting site specific risk assessments for excavation activities?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To outline how the task is to be done safely","To identify risks and the appropriate control measures","To present health and safety topics to the workforce","To provide written authorisation for high risk activities",2
"LO3: 3.5: Identify the relevant control measures that should be in place when excavating","What safety measure should be in place to reduce the risks from traffic when excavating in the highway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"High visibility clothing","Excavation covers","Enhanced fencing","Traffic control methods",4
"LO3: 3.5: Identify the relevant control measures that should be in place when excavating","What personal protective equipment (PPE) must be worn by operatives working outside of the working space in the highway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Water proof clothing","Protective gloves","High visibility clothing","Steel toe cap boots",3
"LO3: 3.5: Identify the relevant control measures that should be in place when excavating","What equipment should be used to maintain a route for pedestrians and provide light vehicles access to premises during excavation works in the footway?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Trench cover","Road plates","Footway ramps","Footway boards",4
"LO3: 3.6: Define the appropriate precautions to take when excavating in areas of high risk","What clothing should be worn to reduce the risk of burns?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Multiple layers of polyester and cotton clothing","Multiple layers of flame-resistant clothing, including base layers","A nylon base layer with sleeve sweatshirt","A polyester base layer with flame-resistant overalls",2
"LO3: 3.6: Define the appropriate precautions to take when excavating in areas of high risk","What distance is the minimum safety exclusion zone for using a mechanical excavator near gas pipes?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,350mm,500mm,750mm,900mm,2
"LO3: 3.6: Define the appropriate precautions to take when excavating in areas of high risk","After conducting a survey of a work area on a grass verge, what additional precautions should be taken to ensure that the identified services are not damaged during excavation?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Mark the line of identified services using wooden pegs","Mark the line of identified services on adjacent paved surface","Mark the line of identified services using steel pins","Mark the line of the identified services using biodegradable crayon or chalk",1
"LO3: 3.7: Define the characteristics of excavation and trench categories","What classifies an excavation patch to be a 'deep excavation'?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Depth of cover over the apparatus is 1.5m","Depth of cover from below the apparatus is over 1.5m","Depth of the excavation is over 1.5m","Depth of excavation is under 1.5m",1
"LO3: 3.7: Define the characteristics of excavation and trench categories","What is the maximum width allowed for a trench to be classified as a 'narrow trench'?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,200mm,300mm,400mm,500mm,2
"LO3: 3.7: Define the characteristics of excavation and trench categories","Which excavation or trench category describes excavations or trenches with a depth greater than 1.5 metres?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Small excavation","Narrow trench","Deep opening","Other opening",3
"LO3: 3.8: Identify the appropriate measures that should be taken to ensure that excavations","What method should be used to ensure that the excavation has sufficient space to accommodate the materials for reinstatement of construction layers?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Develop a new reinstatement specification in line with excavation depth","Follow the depths set out in the specification when excavating","Backfill using excavated material leaving 600mm space for new material","Measure the excavation to confirm the depth is in line with specification",4
"LO3: 3.8: Identify the appropriate measures that should be taken to ensure that excavations","Which specification document provides guidance on the measures required to ensure that excavations can accommodate materials and equipment for compaction and reinstatement?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Specification for Highway Works, 'Series 1000'","Safety at Street Works and Road Works, Approved Code of Practice","Specification for the Reinstatement of Openings in the Highway/Roads","Well-Managed Highway Infrastructure Code of Practice",3
"LO3: 3.8: Identify the appropriate measures that should be taken to ensure that excavations","What measures should be taken to ensure that excavations in flexible or composite roads can accommodate materials for reinstatement?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Undercut the vertical wall of the excavation to create a void","Mark excavation using a pavement saw to a minimum depth of 20mm","Exposed edges are rough cut at an angle of 27Âº to the vertical","Bitumen bound edges are smooth, vertical, and have no significant undercutting",4
"LO5: 5.1: State the potential consequences of damaging different types of utilities apparatus","Which of the following actions could result in a metallic water main suddenly failing?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Removal of thrust blocks","Periods of high usage demand on the clean water network","Removal of warning tape","Use of on street none invasive leak detection activities",1
"LO5: 5.1: State the potential consequences of damaging different types of utilities apparatus","Which of the following incidents could happen if a metallic gas main was damaged whilst excavating?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Trench collapse",Explosion,"Environmental damage",Poisoning,2
"LO5: 5.1: State the potential consequences of damaging different types of utilities apparatus","What is the most likely injury to occur if a high voltage power cable is penetrated using a road breaker and chisel bit?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Electrocution,Asphyxiation,"Severe burns","Loss of vision",3
"LO5: 5.2: Identify the steps that should be taken when reporting damage to utilities apparatus","Who should be contacted in the first instance when a gas main has been damaged?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The residents upwind of the incident","The supervisor or manager","The distribution network owner","The national gas emergency line",4
"LO5: 5.2: Identify the steps that should be taken when reporting damage to utilities apparatus","What action should be taken where an unearthed damaged electric cable is found?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Clear the area, contact the asset owner and stay clear until made safe","Continue to work avoiding further damage to the cable","Inform the distribution network operator on the national emergency line","Prohibit smoking, extinguish all naked flames and sources of ignition",1
"LO5: 5.2: Identify the steps that should be taken when reporting damage to utilities apparatus","Who should a damaged sewer pipe be reported to?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The regional water authority","The local authority","The local canal and river trust","The regional environmental agency",1
"LO5: 5.3: State the appropriate methods to be used to safely support and protect exposed utilities","How should exposed water pipes be protected during cold weather?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Insulate using suitable pipe lagging","Leave the pipe open to air","Insulate using suitable reflector foil","Cover using glass fibre",1
"LO5: 5.3: State the appropriate methods to be used to safely support and protect exposed utilities","What is the recommended distance that ratchet straps should be spaced when supporting cables within a temporary split duct which is suspended from a support beam?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"1 metre","2 metres","3 metres","4 metres",1
"LO5: 5.3: State the appropriate methods to be used to safely support and protect exposed utilities","Which of the following is the most appropriate method of supporting an exposed metallic gas pipe with a joint?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Using wooden props to support either side of the joint from below","Suspended from beam using a wooden spine and ratchet straps either side of the joint","Using concrete flags directly beneath the joint to provide support","Suspended from a flexible beam using wire rope spanning the length of the excavation",2
"LO5: 5.4: Define the circumstances in which trench support systems would be required,","What document would provide a trained operative with the procedure to safely install and use trench support systems?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Permit to dig","Risk assessment","Method statement","Pre-use checklist",3
"LO5: 5.4: Define the circumstances in which trench support systems would be required,","Why should trench support equipment be used for an excavation in an area with significant traffic?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Significant traffic increases the risk of a collision","Increased traffic will limit the width of the excavation","Vibration from the traffic can lead to trench collapse","Underground services tend to be deeper on roads",3
"LO5: 5.4: Define the circumstances in which trench support systems would be required,","When should trench support equipment be used?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"When wet or cold weather is forecasted","When identified within the site specific risk assessment","When the trench is more than 1.2 metres deep","When excavating in graded granular material",2
"LO7: 7.1: A. define how excavated materials are classified and considered suitable or unsuitable","What backfill material classification are graded granular materials?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Class A","Class B","Class C","Class D",1
"LO7: 7.1: A. define how excavated materials are classified and considered suitable or unsuitable","When testing the moisture content of Class D materials, what would indicate that they were suitable for re-use?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The material has no sheen, and fines are dry and dusty","The material crumbles and fails to stay together when rolled in the palm of your hand","The material squeezes easily between your fingers","The material can be rolled to not less than the diameter and length of a standard pencil",4
"LO7: 7.1: A. define how excavated materials are classified and considered suitable or unsuitable","Which of these tests would determine if granular excavated materials are suitable for re-use as backfill?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Field identification test number 1","Field identification test number 2","Field identification test number 3","Field identification test number 4",3
"LO7: 7.1: B. define how excavated materials are classified and considered suitable or unsuitable","What classification of backfill material is organic matter such as peat?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Class A","Class B","Class D","Class E",4
"LO7: 7.1: B. define how excavated materials are classified and considered suitable or unsuitable","What are Class E backfill materials?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Graded Granular","Cohesive Granular",Cohesive,Unacceptable,4
"LO7: 7.1: B. define how excavated materials are classified and considered suitable or unsuitable","Which of these tests would determine if cohesive/granular materials with less than 50% granular content are suitable for reuse?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Field identification test 1","Field identification test 2","Field identification test 3","Field identification test 4",2
"LO7: 7.2: Identify the circumstances in which excavated materials can be re-used","When is it acceptable to reuse excavated materials to reinstate an excavation?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Where alternative reinstatement materials (ARMs) are prohibited","Where materials comply with backfill reinstatement classifications","When the cost of importing new material is too expensive","When there are no means of disposing of excavated material safely",2
"LO7: 7.2: Identify the circumstances in which excavated materials can be re-used","Why is the re-use of excavated materials as backfill encouraged in verges and unmade ground?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"It reduces the spread of invasive plant species","It is easier to compact","It is cheaper than importing new material","It is more environmentally sustainable",4
"LO7: 7.2: Identify the circumstances in which excavated materials can be re-used","How can clay that has been excessively dried during site storage be re-used as a backfill material?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"It should be refined and used as fine fill","It can't as it will unlikely regain the acceptable plastic limit","It can be moistened to comply with the specification","It will naturally retain water once reinstated",3
